,word,good_score,bad_score,good_score_all,bad_score_all,count,good_nums,bad_nums,diff
94,income attributable,0.94,12.35,0.57,8.24,5519,63,70,7
96,incorporated herein reference,0.86,12.35,0.49,6.11,2376,59,52,7
76,fixed income,0.89,12.82,0.53,8.42,3128,62,69,7
137,officer pursuant,0.95,11.88,0.52,5.66,2228,57,50,7
110,million aggregate,0.92,13.16,0.57,8.9,2834,64,71,7
23,company expects,0.81,12.38,0.5,6.72,2193,64,57,7
52,duke energy,0.0,14.58,0.0,0.97,7637,0,7,7
36,contingent consideration,0.82,11.71,0.29,3.35,2956,37,30,7
32,condensed consolidated statement,0.88,11.78,0.52,6.06,7762,61,54,7
192,taxonomy extension,0.84,11.94,0.56,7.17,4586,69,63,6
146,period primarily,0.85,12.83,0.54,7.33,3610,66,60,6
0,accompanying note integral,0.86,12.75,0.29,3.52,2274,35,29,6
100,insurance company,0.85,11.99,0.42,5.14,2272,51,45,6
56,ended july,1.0,12.94,0.37,4.07,3221,39,33,6
106,june company,0.8,11.8,0.5,6.63,2500,65,59,6
31,condensed consolidated financial,0.85,12.04,0.51,6.54,19733,63,57,6
101,integral part,0.8,13.04,0.42,7.32,3580,54,59,5
167,report fiscal,0.85,11.94,0.59,7.62,2781,72,67,5
93,included within,0.9,12.85,0.6,9.06,2436,69,74,5
89,herein reference,0.89,12.55,0.55,7.17,3585,65,60,5
25,company subsidiary,0.96,12.46,0.53,7.47,2186,58,63,5
33,condensed financial,1.0,14.04,0.21,2.27,2619,22,17,5
1,additional information regarding,0.77,12.83,0.49,8.68,2316,66,71,5
54,effective income tax,0.87,12.8,0.52,8.17,2698,62,67,5
195,unaudited consolidated,0.91,12.45,0.23,3.68,2641,26,31,5
174,restricted cash,0.85,13.07,0.53,7.47,6009,65,60,5
189,statement income,0.92,12.45,0.65,8.18,4702,74,69,5
49,designated hedging,0.84,12.36,0.41,6.59,3066,51,56,5
63,fasb issued asu,0.88,12.17,0.52,7.77,2333,62,67,5
111,million aggregate principal,0.9,13.43,0.49,7.8,2391,56,61,5
53,effective income,0.87,12.8,0.52,8.17,2698,62,67,5
59,ended september compared,0.83,12.51,0.55,7.75,3728,69,65,4
199,xbrl taxonomy extension,0.82,11.99,0.52,7.08,3463,66,62,4
26,compared period,0.81,12.64,0.55,8.07,8999,71,67,4
168,report fiscal year,0.85,11.94,0.58,7.62,2367,71,67,4
29,condensed consolidated,0.88,12.01,0.56,7.09,33937,66,62,4
172,research development,0.83,11.39,0.49,7.05,5795,61,65,4
30,condensed consolidated balance,0.84,12.3,0.45,5.97,6154,55,51,4
35,consolidated statement operation,0.72,12.61,0.33,5.16,3432,47,43,4
190,statement operation,0.72,12.6,0.33,6.12,4336,47,51,4
154,principal amount senior,0.8,13.33,0.46,7.11,2779,60,56,4
99,increased primarily due,0.87,11.92,0.48,6.93,2245,57,61,4
144,per common,0.91,13.05,0.53,7.95,3557,60,64,4
104,issued asu,0.88,12.04,0.55,7.91,2534,65,69,4
5,amount senior,0.8,13.52,0.47,7.47,2965,62,58,4
133,note integral,0.86,12.64,0.29,3.73,2278,35,31,4
81,forward contract,0.89,11.88,0.62,7.81,3961,73,69,4
134,note integral part,0.86,12.64,0.29,3.73,2278,35,31,4
6,annual report fiscal,0.87,11.94,0.59,7.62,2406,71,67,4
90,herein reference exhibit,1.1,12.25,0.19,2.57,2641,18,22,4
135,note note consolidated,0.97,12.42,0.53,6.27,2701,57,53,4
145,performance share,0.82,12.47,0.42,6.77,2280,53,57,4
98,increased primarily,0.88,12.09,0.57,8.06,2875,67,70,3
182,see note financial,0.62,13.35,0.11,2.67,2193,18,21,3
175,restructuring charge,0.8,11.43,0.31,4.68,2527,40,43,3
60,equivalent restricted,0.8,13.35,0.35,5.47,2878,46,43,3
198,xbrl taxonomy,0.82,12.14,0.52,7.29,3564,66,63,3
114,million year ended,0.84,13.02,0.57,9.05,3136,70,73,3
95,income per,0.84,12.24,0.67,9.79,2807,82,84,2
55,ended april,0.79,12.26,0.31,4.55,2667,41,39,2
165,regulatory approval,0.8,13.36,0.47,7.51,2302,61,59,2
17,class common stock,0.89,12.35,0.17,2.59,2314,20,22,2
159,quarterly report quarter,0.86,12.5,0.6,8.93,2384,73,75,2
12,cash equivalent restricted,0.78,13.35,0.33,5.47,2836,44,43,1
8,base rate,0.8,13.58,0.38,6.47,2809,49,50,1
10,billion december,0.85,12.7,0.59,8.83,2592,72,73,1
14,cash restricted,0.84,12.47,0.39,5.58,2653,48,47,1
120,net income attributable,0.94,12.81,0.47,6.22,2857,52,51,1
34,consolidated statement income,0.96,12.14,0.48,6.13,3621,52,53,1
160,rate swap,0.85,12.28,0.53,7.49,6189,65,64,1
109,method investment,0.86,12.95,0.52,7.65,2303,63,62,1
147,period primarily due,0.83,12.01,0.39,5.72,2724,49,50,1
84,gross margin,0.99,11.15,0.41,4.67,3617,43,44,1
65,filed sec,0.85,12.28,0.85,12.28,2662,104,105,1
155,product sale,0.85,11.81,0.44,6.07,2345,53,54,1
58,ended march compared,0.86,12.43,0.55,7.81,2607,67,66,1
164,reference rate,0.92,12.73,0.53,7.39,2250,60,61,1
169,report quarter,0.85,12.51,0.81,11.68,2565,99,98,1
51,district court,0.82,13.2,0.54,8.42,5977,68,67,1
57,ended june compared,0.86,12.52,0.56,8.23,4290,68,69,1
61,exhibit current,0.85,12.07,0.4,5.63,3655,49,49,0
62,exhibit current report,0.85,12.07,0.4,5.63,3647,49,49,0
44,current report filed,0.88,12.37,0.49,6.83,4408,58,58,0
153,price per,0.88,12.55,0.76,10.76,2219,90,90,0
102,interest rate swap,0.86,12.34,0.52,7.4,5618,63,63,0
132,note financial statement,0.96,12.28,0.45,5.73,4091,49,49,0
